Date,CRUDOIL,CRUDWTC,Spread,Spread VOL,position,X1X2position,X1position,X2position,dailypnl,cumpnl
2018-01-01,60.42,60.46,-0.0009572290971746611,0.4240132893780949,0,,,,,
2018-01-02,60.37,60.37,0.03900645418889326,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-03,61.63,61.61,0.059506817803040235,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-04,62.01,61.98,0.06965611984919207,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-05,61.44,61.49,-0.010541604482206424,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-08,61.73,61.73,0.03955524008827638,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-09,62.96,62.92,0.0800354277502322,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-10,63.57,63.6,0.010309820699923478,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-11,63.8,63.81,0.03039455969908289,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-12,64.3,64.22,0.12056000250699128,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-15,64.3,64.22,0.12056000250699128,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-16,63.73,63.82,-0.04960140511047939,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-17,63.97,63.92,0.09043894679388842,0.4240132893780949,0,0.0,0.0,-0.0,-0.0,0.0
2018-01-18,63.95,63.96,0.03045508755564441,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-19,63.37,63.38,0.030221046510312988,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-22,63.57,63.66,-0.04966596815745561,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-23,64.54,64.45,0.13065281188703182,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-24,65.74,65.69,0.09115317550117652,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-25,65.62,65.62,0.04112492916812016,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-26,66.22,66.27,-0.008612783453500583,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-29,65.71,65.71,0.04116124588205139,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-30,64.65,64.64,0.0507294805053391,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-01-31,64.85,64.82,0.07080211393318336,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-02-01,65.92,65.92,0.04124598488121478,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-02-02,65.57,65.5,0.11107650688286697,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-02-05,64.27,64.18,0.13054386174523813,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-02-06,63.51,63.48,0.07026139841468648,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
2018-02-07,61.91,61.91,0.03962787351613173,0.4240132893780949,0,0.0,0.0,-0.0,0.0,0.0
