Date,Spread,WHEATSF,NATBGAS,Spread_rolling_std,Hedge ratio,Position,Leg1_position,Leg2_position,dailypnl,cumpnl
2018-01-01,-1.1790017710133984,4.32,0.7633568249999999,0.9683588278200512,7.203710756124306,1.0,1.0,-7.203710756124306,0.13741252641810212,0.13741252641810212
2018-01-02,-1.021795422668914,4.38,0.750267375,0.9656533360452306,7.199827158509877,1.0,1.0,-7.199827158509877,0.11700885949908617,0.25442138591718827
2018-01-03,-0.8971468827164024,4.42,0.73902597,0.9643556022735525,7.194803834453073,1.0,1.0,-7.194803834453073,0.034345256937923736,0.288766642855112
2018-01-04,-0.8852968433160111,4.4,0.7350333600000001,0.9625658201080458,7.190553695843153,1.0,1.0,-7.190553695843153,0.161273750724967,0.45004039358007897
2018-01-05,-0.7979558312940105,4.36,0.71761833,0.9602751969042002,7.187603236519908,1.0,1.0,-7.187603236519908,-0.04010677473823893,0.40993361884184004
2018-01-08,-0.8500420754230502,4.33,0.7209356550000001,0.9574881330960934,7.1851656101306975,1.0,1.0,-7.1851656101306975,-0.13780985165614615,0.27212376718569387
2018-01-09,-0.9063816107063589,4.38,0.73592166,0.953930474339752,7.183348307354289,1.0,1.0,-7.183348307354289,-0.043535770050224395,0.22858799713546946
2018-01-10,-0.9210864086969996,4.4,0.7408496250000001,0.9496029212810368,7.18241088223133,1.0,1.0,-7.18241088223133,0.04468432537375343,0.2732723225092229
2018-01-11,-0.8953958127394115,4.39,0.73600611,0.9457682255929727,7.181184695245819,1.0,1.0,-7.181184695245819,-0.3254119768772832,-0.052139654368060284
2018-01-12,-1.2467845048825437,4.25,0.766089375,0.9446818177765901,7.175121708067736,1.0,1.0,-7.175121708067736,0.215067211159239,0.1629275567911787
2018-01-15,-1.0781781993447224,4.25,0.7431266000000001,0.9435385307939687,7.169946815717163,1.0,1.0,-7.169946815717163,0.11702602535740905,0.2799535821485878
2018-01-16,-1.0206209591685953,4.21,0.7300220000000001,0.9425099373219549,7.165018258584802,1.0,1.0,-7.165018258584802,0.2508634719257898,0.5308170540743775
2018-01-17,-0.7957280704679706,4.26,0.70567234,0.9390478541566257,7.164412977371297,1.0,1.0,-7.164412977371297,0.10984960261934149,0.640666656693719
2018-01-18,-0.6855260680936839,4.3,0.6957773500000001,0.9348290086185966,7.165404375542956,1.0,1.0,-7.165404375542956,0.010039379544817515,0.6507060362385365
2018-01-19,-0.7046639419445899,4.27,0.6941250449999999,0.9302973439029893,7.166812345669777,1.0,1.0,-7.166812345669777,-0.23101337142163542,0.4196926648169011
2018-01-22,-0.8403420658909297,4.3,0.7171797750000001,0.9258642340921858,7.16743868842499,1.0,1.0,-7.16743868842499,0.158523952322778,0.5782166171396791
2018-01-23,-0.7537440460008078,4.27,0.7006196399999999,0.9199731304609897,7.170429943986166,1.0,1.0,-7.170429943986166,0.134310141720051,0.7125267588597302
2018-01-24,-0.5621768714776252,4.39,0.69024219,0.9140928576041414,7.174549662746093,1.0,1.0,-7.174549662746093,-0.04674433952549729,0.6657824193342329
2018-01-25,-0.5869910738378712,4.4,0.6949584750000001,0.9104104592253103,7.175955475379836,1.0,1.0,-7.175955475379836,-0.00468191739748532,0.6611005019367475
